Run	Sample Characteristic[cultivar]	Sample Characteristic Ontology Term[cultivar]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[developmental stage]	Factor Value Ontology Term[developmental stage]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Analysed
SRR531896	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	anthers	http://purl.obolibrary.org/obo/PO_0009066	whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	anthers	http://purl.obolibrary.org/obo/PO_0009066	Yes
SRR531897	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	anthers	http://purl.obolibrary.org/obo/PO_0009066	whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	anthers	http://purl.obolibrary.org/obo/PO_0009066	Yes
SRR531898	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	2 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	2 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531899	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	2 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	2 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531900	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	2 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	2 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531901	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	4 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	4 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531902	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	4 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	4 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531903	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	4 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	4 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531904	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	6 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	6 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531905	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	6 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	6 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531906	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	6 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	6 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531907	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	8 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	8 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531908	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	8 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	8 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531909	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	8 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	8 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531910	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531911	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531912	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531913	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	endosperm	http://purl.obolibrary.org/obo/PO_0009089	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	endosperm	http://purl.obolibrary.org/obo/PO_0009089	Yes
SRR531914	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	endosperm	http://purl.obolibrary.org/obo/PO_0009089	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	endosperm	http://purl.obolibrary.org/obo/PO_0009089	Yes
SRR531915	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	endosperm	http://purl.obolibrary.org/obo/PO_0009089	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	endosperm	http://purl.obolibrary.org/obo/PO_0009089	Yes
SRR531916	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	Yes
SRR531917	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	Yes
SRR531919	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	Yes
SRR531920	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	pericarp	http://purl.obolibrary.org/obo/PO_0009084	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	pericarp	http://purl.obolibrary.org/obo/PO_0009084	Yes
SRR531921	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	pericarp	http://purl.obolibrary.org/obo/PO_0009084	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	pericarp	http://purl.obolibrary.org/obo/PO_0009084	Yes
SRR531922	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	20 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	20 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531924	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	20 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	20 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531925	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	20 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	20 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531926	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	20 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	endosperm	http://purl.obolibrary.org/obo/PO_0009089	20 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	endosperm	http://purl.obolibrary.org/obo/PO_0009089	Yes
SRR531928	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	20 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	endosperm	http://purl.obolibrary.org/obo/PO_0009089	20 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	endosperm	http://purl.obolibrary.org/obo/PO_0009089	Yes
SRR531929	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	20 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	endosperm	http://purl.obolibrary.org/obo/PO_0009089	20 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	endosperm	http://purl.obolibrary.org/obo/PO_0009089	Yes
SRR531930	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	20 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	20 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	Yes
SRR531931	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	20 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	20 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	Yes
SRR531932	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	20 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	20 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	Yes
SRR531933	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	22 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	22 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531934	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	22 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	22 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531935	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	22 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	22 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531936	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	22 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	endosperm	http://purl.obolibrary.org/obo/PO_0009089	22 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	endosperm	http://purl.obolibrary.org/obo/PO_0009089	Yes
SRR531937	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	22 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	endosperm	http://purl.obolibrary.org/obo/PO_0009089	22 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	endosperm	http://purl.obolibrary.org/obo/PO_0009089	Yes
SRR531938	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	22 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	endosperm	http://purl.obolibrary.org/obo/PO_0009089	22 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	endosperm	http://purl.obolibrary.org/obo/PO_0009089	Yes
SRR531939	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	22 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	22 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	Yes
SRR531940	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	22 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	22 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	Yes
SRR531941	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	22 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	22 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	Yes
SRR531942	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	24 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	24 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531944	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	24 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	24 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531945	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	24 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	24 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531946	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	24 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	endosperm	http://purl.obolibrary.org/obo/PO_0009089	24 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	endosperm	http://purl.obolibrary.org/obo/PO_0009089	Yes
SRR533828	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	24 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	endosperm	http://purl.obolibrary.org/obo/PO_0009089	24 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	endosperm	http://purl.obolibrary.org/obo/PO_0009089	Yes
SRR533829	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	24 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	endosperm	http://purl.obolibrary.org/obo/PO_0009089	24 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	endosperm	http://purl.obolibrary.org/obo/PO_0009089	Yes
SRR533835	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	24 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	24 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	Yes
SRR533845	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	24 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	24 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	Yes
SRR533848	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	24 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	24 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	Yes
SRR940236	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR940237	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	eighth leaf		LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	eighth leaf		Yes
SRR940238	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	eighth leaf		LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	eighth leaf		Yes
SRR940239	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	eighth leaf		LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	eighth leaf		Yes
SRR940249	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	eleventh leaf		LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	eleventh leaf		Yes
SRR940250	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	eleventh leaf		LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	eleventh leaf		Yes
SRR940251	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	eleventh leaf		LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	eleventh leaf		Yes
SRR940252	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	thirteenth leaf		LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	thirteenth leaf		Yes
SRR940253	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	thirteenth leaf		LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	thirteenth leaf		Yes
SRR940254	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	thirteenth leaf		LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	thirteenth leaf		Yes
SRR940255	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	immature leaves		LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	immature leaves		Yes
SRR940256	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	immature leaves		LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	immature leaves		Yes
SRR940257	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	immature leaves		LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	immature leaves		Yes
SRR940258	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.18 eighteen leaves visible stage	http://purl.obolibrary.org/obo/PO_0007072	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	meiotic tassel		LP.18 eighteen leaves visible stage	http://purl.obolibrary.org/obo/PO_0007072	meiotic tassel		Yes
SRR940259	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	thirteenth leaf		whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	thirteenth leaf		Yes
SRR940260	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	thirteenth leaf		whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	thirteenth leaf		Yes
SRR940274	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	thirteenth leaf		whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	thirteenth leaf		Yes
SRR940276	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	whole plant fruit formation stage 30 to 50%	http://purl.obolibrary.org/obo/PO_0007029	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	thirteenth leaf		whole plant fruit formation stage 30 to 50%	http://purl.obolibrary.org/obo/PO_0007029	thirteenth leaf		Yes
SRR940278	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	whole plant fruit formation stage 30 to 50%	http://purl.obolibrary.org/obo/PO_0007029	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	thirteenth leaf		whole plant fruit formation stage 30 to 50%	http://purl.obolibrary.org/obo/PO_0007029	thirteenth leaf		Yes
SRR940279	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	whole plant fruit formation stage 30 to 50%	http://purl.obolibrary.org/obo/PO_0007029	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	thirteenth leaf		whole plant fruit formation stage 30 to 50%	http://purl.obolibrary.org/obo/PO_0007029	thirteenth leaf		Yes
SRR940280	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	10 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	10 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
