Run	Sample Characteristic[cultivar]	Sample Characteristic Ontology Term[cultivar]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[developmental stage]	Factor Value Ontology Term[developmental stage]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Analysed
SRR531201	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	6 days after sowing		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	coleoptile	http://purl.obolibrary.org/obo/PO_0020033	6 days after sowing		coleoptile	http://purl.obolibrary.org/obo/PO_0020033	Yes
SRR531202	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	6 days after sowing		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	coleoptile	http://purl.obolibrary.org/obo/PO_0020033	6 days after sowing		coleoptile	http://purl.obolibrary.org/obo/PO_0020033	Yes
SRR531203	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	6 days after sowing		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	coleoptile	http://purl.obolibrary.org/obo/PO_0020033	6 days after sowing		coleoptile	http://purl.obolibrary.org/obo/PO_0020033	Yes
SRR531204	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	6 days after sowing		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	coleoptile	http://purl.obolibrary.org/obo/PO_0020033	6 days after sowing		coleoptile	http://purl.obolibrary.org/obo/PO_0020033	Yes
SRR531205	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR531206	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR531207	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR531208	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR531209	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR531210	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	leaf	http://purl.obolibrary.org/obo/PO_0025034	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	leaf	http://purl.obolibrary.org/obo/PO_0025034	Yes
SRR531211	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	shoot apical meristem	http://purl.obolibrary.org/obo/PO_0020148	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	shoot apical meristem	http://purl.obolibrary.org/obo/PO_0020148	Yes
SRR531212	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	shoot apical meristem	http://purl.obolibrary.org/obo/PO_0020148	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	shoot apical meristem	http://purl.obolibrary.org/obo/PO_0020148	Yes
SRR531213	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	shoot apical meristem	http://purl.obolibrary.org/obo/PO_0020148	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	shoot apical meristem	http://purl.obolibrary.org/obo/PO_0020148	Yes
SRR531214	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	shoot apical meristem	http://purl.obolibrary.org/obo/PO_0020148	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	shoot apical meristem	http://purl.obolibrary.org/obo/PO_0020148	Yes
SRR531215	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	primary root	http://purl.obolibrary.org/obo/PO_0020127	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	primary root	http://purl.obolibrary.org/obo/PO_0020127	Yes
SRR531216	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	primary root	http://purl.obolibrary.org/obo/PO_0020127	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	primary root	http://purl.obolibrary.org/obo/PO_0020127	Yes
SRR531217	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	primary root	http://purl.obolibrary.org/obo/PO_0020127	LP.01 one leaf visible stage	http://purl.obolibrary.org/obo/PO_0007094	primary root	http://purl.obolibrary.org/obo/PO_0020127	Yes
SRR531218	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.03 three leaves visible stage	http://purl.obolibrary.org/obo/PO_0007106	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	topmost leaf		LP.03 three leaves visible stage	http://purl.obolibrary.org/obo/PO_0007106	topmost leaf		Yes
SRR531219	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.03 three leaves visible stage	http://purl.obolibrary.org/obo/PO_0007106	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	topmost leaf		LP.03 three leaves visible stage	http://purl.obolibrary.org/obo/PO_0007106	topmost leaf		Yes
SRR531220	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.03 three leaves visible stage	http://purl.obolibrary.org/obo/PO_0007106	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	topmost leaf		LP.03 three leaves visible stage	http://purl.obolibrary.org/obo/PO_0007106	topmost leaf		Yes
SRR531221	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.05 five leaves visible stage	http://purl.obolibrary.org/obo/PO_0007065	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	shoot tip	http://purl.obolibrary.org/obo/PO_0000037	LP.05 five leaves visible stage	http://purl.obolibrary.org/obo/PO_0007065	shoot tip	http://purl.obolibrary.org/obo/PO_0000037	Yes
